Red Team 1,Red Team 2,Red Team 3,Blue Team 1,Blue Team 2,Blue Team 3,Red Score,Blue Score,Red Auto Game Piece Count,Red Auto Points,Red Teleop Game Piece Count,Red Teleop Points,Blue Auto Game Piece Count,Blue Auto Points,Blue Teleop Game Piece Count,Blue Teleop Points,Winner
7763,2642,4828,8738,5607,2640,59,83,1,12,9,47,3,33,10,45,blue
7763,2642,4828,8738,5607,2640,94,71,1,9,14,70,3,33,10,33,red
7763,2642,4828,8738,5607,2640,107,104,1,27,14,70,3,33,13,61,red
9296,6240,9198,7443,4816,3822,43,69,1,3,5,30,1,12,2,32,blue
7443,7763,5518,4828,5190,9032,89,26,2,30,10,54,0,3,2,18,red
2640,9297,3737,6502,9042,6908,41,38,1,6,7,30,0,3,6,35,red
6729,7715,6894,3336,5607,3229,65,54,0,6,10,49,1,21,7,33,red
2642,5190,4816,3822,8205,6512,87,41,2,24,9,48,2,10,8,21,red
8757,9198,8738,9032,9042,7763,41,44,2,12,4,24,1,9,10,35,blue
435,7443,9296,9297,6214,6908,90,33,1,18,7,27,0,6,5,22,red
4534,4828,2640,6240,7270,5518,38,51,2,12,9,26,1,18,5,33,blue
8757,3229,9042,8738,9032,6502,57,79,1,12,8,45,1,22,10,47,blue
8205,6729,7443,435,3737,7763,60,70,1,18,10,32,1,12,9,53,blue
5518,3822,2642,9297,4534,6894,99,117,1,27,10,40,3,13,9,55,blue
3229,7763,5190,7270,6214,5607,81,52,3,29,12,42,0,15,5,37,red
6908,7715,4816,9198,3336,4828,48,35,1,6,8,27,1,6,3,14,red
9296,6240,5607,6512,2640,5190,52,90,0,15,6,37,2,28,9,42,blue
8757,7270,4534,8205,3229,6214,32,48,1,9,5,23,1,9,8,39,blue
9042,9297,435,6894,4816,4828,47,44,1,9,9,28,0,3,5,31,red
3737,6908,6240,8738,6512,7763,47,75,1,6,7,41,2,16,10,49,blue
6729,5518,2640,9198,5190,6214,83,66,2,23,12,50,2,22,9,39,red
6502,7443,7270,3822,3336,9296,70,96,2,9,7,36,0,6,4,20,blue
5607,6908,9032,7715,2642,3737,58,57,0,18,8,40,2,27,8,25,red
9042,4828,8738,5190,5518,435,36,61,1,9,3,22,2,28,6,28,blue
3822,8757,9297,6240,6894,8205,29,122,1,9,6,10,1,6,8,46,blue
7715,6502,435,6894,2640,8757,53,45,0,6,6,37,1,9,4,21,red
7763,6729,3336,4816,9296,7270,102,6,1,21,10,46,0,0,2,6,red
7715,6214,6512,9032,7443,4534,58,82,2,18,8,35,1,24,10,53,blue
2640,5607,9198,3229,2642,6502,62,106,3,27,7,35,2,30,12,61,blue
7763,4828,3822,3737,9042,4816,68,44,1,17,8,46,2,12,7,27,red
4534,8205,7715,5190,9296,8757,75,48,2,21,10,44,1,19,3,24,red
9032,435,6214,5607,8738,5518,61,102,0,14,7,47,3,27,12,60,blue
3229,6894,6908,3336,6240,7443,50,38,1,10,8,35,1,11,5,12,red
9297,6502,6512,2642,6729,7270,77,86,3,28,9,39,1,24,10,52,blue
9198,4816,8205,2640,435,3822,73,45,3,24,9,34,1,9,8,31,red
8738,3336,7715,4534,3737,5190,46,86,2,9,7,32,2,25,11,51,blue
3336,3737,9032,4828,8205,9297,52,24,0,3,9,39,1,3,3,16,red
6894,9296,2642,6512,8757,6729,89,59,0,18,8,56,1,10,9,39,red
9297,9032,7270,7443,9198,9042,45,55,1,9,6,36,2,21,4,29,blue
6908,5518,4828,6240,2640,3229,62,48,1,17,5,40,2,20,8,23,red
6214,6502,9296,5607,7763,8205,72,90,1,18,7,49,3,30,11,55,blue
3737,6894,7443,4534,9198,6512,84,48,1,14,9,50,2,18,7,20,red
5190,9042,3336,435,2642,6240,54,89,1,22,8,27,2,27,9,52,blue
7270,6908,7763,5518,3229,9297,48,86,1,21,6,27,2,20,6,34,blue
6214,8738,2640,9032,3822,7715,80,26,2,15,10,55,0,3,7,23,red
6502,4828,8757,4816,5607,6729,101,70,1,18,11,63,1,21,9,39,red
5518,6512,3336,9198,435,3229,75,51,2,28,10,42,1,6,8,35,red
2642,4534,9042,6908,6729,8738,100,51,2,33,12,52,1,9,7,37,red
2640,9296,9042,7763,2642,9297,40,116,1,12,5,23,3,36,12,55,blue
5607,5190,3822,8757,6908,7443,99,59,3,31,11,43,1,21,6,18,red
6214,4534,6729,4816,6240,9032,76,64,1,12,9,54,2,21,8,38,red
8205,3737,6502,7270,8738,6894,90,39,2,14,10,49,1,9,7,25,red
7715,9297,9198,4828,6512,5607,62,48,3,12,8,40,2,22,7,21,red
4816,8757,5518,6908,3336,4534,84,66,2,27,9,42,0,6,7,40,red
9296,9032,3229,6729,3822,3737,43,68,1,9,10,34,0,17,6,34,blue
5190,8738,6240,7270,2640,7715,64,58,3,12,12,32,2,12,7,36,red
4828,7443,2642,9042,6214,6894,129,56,1,24,15,75,0,18,4,28,red
8205,435,6908,7763,6502,4534,42,105,1,9,7,28,3,30,13,50,blue
6512,6894,435,5518,7715,9296,32,56,1,13,6,19,1,9,8,42,blue
3229,3822,8738,6729,9297,5190,33,119,1,12,6,21,2,25,13,49,blue
3336,4816,2640,9296,6512,3737,105,67,2,24,10,44,1,18,7,32,red
6240,7763,6214,6894,9198,6502,59,90,2,12,12,32,1,21,10,59,blue
9042,5518,8205,7443,7715,5607,70,79,2,20,11,40,3,24,9,35,blue
2642,9032,8757,435,7270,4828,94,51,2,30,12,59,0,3,6,38,red
3737,7270,9198,6214,8757,3336,57,53,1,6,5,36,1,9,7,34,red
6502,5607,6729,3822,4534,6240,69,54,1,9,8,45,1,12,5,37,red
6512,3229,4816,8738,8205,2642,68,94,3,19,8,29,3,36,10,43,blue
2640,5607,8738,9297,4534,6729,105,57,3,33,12,57,2,15,7,42,red
8757,6502,5518,4828,2642,7763,0,103,2,30,11,61,2,33,10,41,blue
2640,5607,8738,9198,5190,3229,96,83,3,30,11,61,2,21,13,52,red
8757,6502,5518,8738,5607,2640,88,89,0,3,10,75,3,33,10,51,blue
8757,6502,5518,435,4816,7715,111,69,1,24,12,72,1,18,9,41,red
9297,4534,6729,9032,3737,7443,69,91,2,23,7,31,1,21,10,55,blue
7763,2642,4828,6512,6894,8205,93,61,2,33,15,55,2,21,10,30,red
3229,5190,9198,8738,5607,2640,72,103,2,22,9,40,3,33,13,60,blue
7715,4816,435,9297,4534,6729,78,96,1,14,10,44,3,26,9,40,blue
8205,6894,6512,9198,5190,3229,76,83,2,18,10,53,2,25,10,43,blue
8757,6502,5518,9032,3737,7443,90,73,1,12,11,63,0,18,6,45,red
7763,2642,4828,8738,5607,2640,130,77,2,31,15,74,2,27,9,45,red
7443,3737,9032,9198,5190,3229,63,89,1,18,9,45,1,6,9,49,blue
